id,day,hit_t,entry_t,side,asset,trigger_asset,entry,stop,tp,exit,exit_t,reason,moved_be,be_t,stop_dist,risk_R,pts,R,t,x
20,2026-01-09,2026-01-09 09:36:30,2026-01-09 09:36:30,LONG,ES,ES,6978.0,6973.25,6993.0,6973.25,2026-01-09 09:48:15,SL,False,,4.75,2.38,-4.75,-2.375,15:36,15:48
20,2026-01-09,2026-01-09 09:36:30,2026-01-09 09:36:30,LONG,NQ,ES,25726.5,25672.25,25801.5,25672.25,2026-01-09 09:49:00,SL,False,,54.25,5.42,-54.25,-5.425,15:36,15:49
21,2026-01-09,2026-01-09 09:49:15,2026-01-09 09:49:30,SHORT,ES,ES,6974.0,6981.5,6959.0,6981.5,2026-01-09 09:54:00,SL,False,,7.5,3.75,-7.5,-3.75,15:49,15:54
22,2026-01-12,2026-01-12 09:45:00,2026-01-12 09:45:15,SHORT,ES,ES,6992.0,6995.5,6977.0,6995.5,2026-01-12 09:50:30,SL,False,,3.5,1.75,-3.5,-1.75,15:45,15:50
22,2026-01-12,2026-01-12 09:45:00,2026-01-12 09:45:15,SHORT,NQ,ES,25852.0,25892.75,25777.0,25852.0,2026-01-12 09:46:30,BE,True,2026-01-12 09:45:30,40.75,4.08,-0.0,-0.0,15:45,15:46
23,2026-01-13,2026-01-13 09:32:00,2026-01-13 09:32:15,SHORT,ES,NQ,7016.5,7022.0,7001.5,7022.0,2026-01-13 09:33:00,SL,False,,5.5,2.75,-5.5,-2.75,15:32,15:33
23,2026-01-13,2026-01-13 09:32:00,2026-01-13 09:32:15,SHORT,NQ,NQ,25946.0,25975.25,25871.0,25975.25,2026-01-13 09:34:15,SL,False,,29.25,2.92,-29.25,-2.925,15:32,15:34
24,2026-01-13,2026-01-13 09:40:00,2026-01-13 09:40:00,LONG,ES,ES,7022.0,7017.75,7037.0,7022.0,2026-01-13 09:40:45,BE,True,2026-01-13 09:40:15,4.25,2.12,0.0,0.0,15:40,15:40
24,2026-01-13,2026-01-13 09:40:00,2026-01-13 09:40:00,LONG,NQ,ES,26016.25,25976.0,26091.25,25976.0,2026-01-13 09:43:15,SL,False,,40.25,4.03,-40.25,-4.025,15:40,15:43
25,2026-01-13,2026-01-13 09:43:00,2026-01-13 09:43:00,SHORT,ES,ES,7021.5,7024.0,7006.5,7006.5,2026-01-13 09:51:45,TP,True,2026-01-13 09:43:15,2.5,1.25,15.0,7.5,15:43,15:51
26,2026-01-14,2026-01-14 09:41:00,2026-01-14 09:41:00,LONG,ES,NQ,6970.75,6966.0,6985.75,6966.0,2026-01-14 09:41:45,SL,False,,4.75,2.38,-4.75,-2.375,15:41,15:41
26,2026-01-14,2026-01-14 09:41:00,2026-01-14 09:41:00,LONG,NQ,NQ,25703.75,25680.25,25778.75,25680.25,2026-01-14 09:41:45,SL,False,,23.5,2.35,-23.5,-2.35,15:41,15:41
27,2026-01-14,2026-01-14 09:47:30,2026-01-14 09:47:45,LONG,ES,NQ,6963.0,6952.5,6978.0,6952.5,2026-01-14 09:58:15,SL,False,,10.5,5.25,-10.5,-5.25,15:47,15:58
27,2026-01-14,2026-01-14 09:47:30,2026-01-14 09:47:45,LONG,NQ,NQ,25657.75,25614.5,25732.75,25614.5,2026-01-14 09:53:30,SL,False,,43.25,4.33,-43.25,-4.325,15:47,15:53
28,2026-01-14,2026-01-14 09:56:00,2026-01-14 09:56:00,SHORT,NQ,ES,25612.5,25790.25,25537.5,25537.5,2026-01-14 10:00:00,TP,False,,177.75,17.77,75.0,7.5,15:56,16:00
29,2026-01-15,2026-01-15 09:30:00,2026-01-15 09:30:15,SHORT,ES,NQ,7003.5,7011.25,6988.5,7003.5,2026-01-15 09:37:00,BE,True,2026-01-15 09:36:45,7.75,3.88,-0.0,-0.0,15:30,15:37
29,2026-01-15,2026-01-15 09:30:00,2026-01-15 09:30:15,SHORT,NQ,NQ,25913.5,25949.0,25838.5,25913.5,2026-01-15 09:44:00,BE,True,2026-01-15 09:35:00,35.5,3.55,-0.0,-0.0,15:30,15:44
30,2026-01-15,2026-01-15 09:37:00,2026-01-15 09:37:15,SHORT,ES,NQ,7001.75,7007.25,6986.75,7007.25,2026-01-15 09:40:00,SL,False,,5.5,2.75,-5.5,-2.75,15:37,15:40
31,2026-01-15,2026-01-15 09:42:00,2026-01-15 09:42:15,SHORT,ES,NQ,6999.5,7007.75,6984.5,7007.75,2026-01-15 09:45:00,SL,False,,8.25,4.12,-8.25,-4.125,15:42,15:45
32,2026-01-15,2026-01-15 09:47:00,2026-01-15 09:47:15,SHORT,NQ,ES,25907.5,25952.75,25832.5,25907.5,2026-01-15 09:54:45,BE,True,2026-01-15 09:50:00,45.25,4.53,-0.0,-0.0,15:47,15:54
33,2026-01-15,2026-01-15 09:57:15,2026-01-15 09:57:30,LONG,NQ,NQ,25885.75,25844.75,25960.75,25844.75,2026-01-15 10:07:30,SL,False,,41.0,4.1,-41.0,-4.1,15:57,16:07
34,2026-01-16,2026-01-16 09:33:00,2026-01-16 09:33:15,SHORT,ES,ES,6996.75,7000.0,6981.75,7000.0,2026-01-16 09:34:15,SL,False,,3.25,1.62,-3.25,-1.625,15:33,15:34
34,2026-01-16,2026-01-16 09:33:00,2026-01-16 09:33:15,SHORT,NQ,ES,25839.25,25876.5,25764.25,25876.5,2026-01-16 09:36:45,SL,False,,37.25,3.73,-37.25,-3.725,15:33,15:36
35,2026-01-16,2026-01-16 09:35:00,2026-01-16 09:35:00,LONG,ES,NQ,6999.25,6995.5,7014.25,6995.5,2026-01-16 09:40:15,SL,False,,3.75,1.88,-3.75,-1.875,15:35,15:40
36,2026-01-16,2026-01-16 09:39:15,2026-01-16 09:39:30,LONG,NQ,ES,25871.75,25852.0,25946.75,25852.0,2026-01-16 09:40:15,SL,False,,19.75,1.98,-19.75,-1.975,15:39,15:40
37,2026-01-16,2026-01-16 09:42:15,2026-01-16 09:42:45,SHORT,ES,ES,6994.5,6999.0,6979.5,6979.5,2026-01-16 09:59:30,TP,True,2026-01-16 09:53:00,4.5,2.25,15.0,7.5,15:42,15:59
